NB - both HOT & GP,SB - both HOT & GP
13.31,30.06
13.6,29.53
13.92,28.98
14.27,28.53
14.63,27.96
15.08,27.44
15.63,26.88
16.12,26.87
16.67,26.62
17.23,26.16
17.49,25.68
17.99,25.17
18.23,24.68
18.7,24.65
19.21,24.39
19.71,23.93
20.22,23.69
20.47,23.51
20.93,23.01
21.36,22.73
21.83,22.31
22.31,21.83
22.73,21.36
23.01,20.93
23.51,20.47
23.69,20.22
23.93,19.71
24.39,19.21
24.65,18.7
24.68,18.23
25.17,17.99
25.68,17.49
26.16,17.23
26.62,16.67
26.87,16.12
26.88,15.63
27.44,15.08
27.96,14.63
28.53,14.27
28.98,13.92
29.53,13.31
30.06,
